,ID,Group,Sex,Age,Age_cat,r_to_all_adults,s_to_all_adults,r_to_group,r_to_adults,r_to_children,N_camps_w_kin,s_to_group,s_to_adults,N_camps_w_con_or_aff_kin
178,178,f,M,34.46,ADULT,0.011111111,0.013888889,0.191576087,0.1875,0.19375,2,0.168478261,0.234375,2
179,179,f,F,27.7,ADULT,0,0.003703704,0.054347826,0,0.083333333,1,0.076086957,0.0625,2
180,180,f,F,9.15,CHILD,0.009225092,0.012453875,0.133831522,0.147058824,0.126077586,1,0.133152174,0.198529412,NA
181,181,f,F,7.802874743,CHILD,0.009225092,0.012453875,0.133831522,0.147058824,0.126077586,1,0.133152174,0.198529412,NA
182,182,f,M,5.23,CHILD,0.009225092,0.012453875,0.133831522,0.147058824,0.126077586,1,0.133152174,0.198529412,NA
183,183,f,M,2.87,CHILD,0.009225092,0.012453875,0.133831522,0.147058824,0.126077586,1,0.133152174,0.198529412,NA
184,184,f,M,1.64,CHILD,0.009225092,0.012453875,0.133831522,0.147058824,0.126077586,1,0.133152174,0.198529412,NA
185,185,f,F,65.793736,ADULT,0.011111111,0.02037037,0.157608696,0.1875,0.141666667,1,0.211956522,0.34375,NA
186,186,f,F,32.83,ADULT,0.012962963,0.025810185,0.112771739,0.0859375,0.127083333,9,0.15625,0.2109375,9
187,187,f,M,8.18,CHILD,0.010147601,0.018392528,0.088994565,0.099264706,0.082974138,7,0.121603261,0.1875,NA
188,188,f,M,6,CHILD,0.010147601,0.018392528,0.088994565,0.099264706,0.082974138,7,0.121603261,0.1875,NA
189,189,f,F,3.33,CHILD,0.010147601,0.018392528,0.088994565,0.099264706,0.082974138,7,0.121603261,0.1875,NA
190,190,f,M,NA,ADULT,0.011111111,0.013888889,0.164402174,0.1875,0.152083333,2,0.127717391,0.234375,2
191,191,f,F,NA,ADULT,0,0.003703704,0,0,0,0,0.02173913,0.0625,2
192,192,g,F,50,ADULT,0.007407407,0.012962963,0.090909091,0.1,0.076923077,2,0.136363636,0.175,NA
